,0,TextBlob (mean),Human Annotation
159,buyer beware my experience of dealing with dropbox over a number of year ha been almost entirely negative fee keep going up for annual subscription and higher licence option if not quickly stopped in their track are automated this company seems masterful at presenting service option that at first glance appear straightforward and useful but on closer examination are ingeniously designed to trap unsuspecting customer in to paying for service they would not have chosen if clear information wa made available to them in the first place moreover in my view dropbox obfuscates and dissociates it corporate responsibility when dealing with customer who believe they have been unfairly treated yesterday i cancelled my dropbox subscription and requested no further correspondence characteristically a if to underline dropbox front line staff impertinence or lack of intelligence a further email arrived an hour ago hi there if there is anything else you need do not hesitate to reach out regard derek,0.07,
160,ha the first thing it did wa mess up my desktop then jacked my computer i am out a there,0.13,
161,great explanation,0,
162,dropbox a racist company just know if you are white they do not want you there look it up,0.13,
163,drop box is racist and sexist if you are white and straight they wont hire you,0.16,
164,sound like dropbox is just a glorified cloud based storage,0.16,
165,all dropbox doe is take the control of your machine out of your hand how much are you paid to advertise this total spying software to this extend please make a clip a to how to remove dropbox from your machine once and for all and get your sanity back,0.09,
166,very helpful,0.15,
167,i still have no idea how dropbox work she must be a public school teacher jeez,0.16,
168,that is what i thought i have no clue what dropbox is or how to use it i do not want it,0.17,
169,mouth like a letterbox and no useful information,0.01,
170,dropbox is a mess it will take you 25 minute to find the download button it is a messy platform,0.09,
171,mam can we find any application which can send sm to mobile after sharing file instantly,0.02,
172,found this video helpful while starting gradschool with a professor who hate using the university blackboard,0.05,
173,what wa this six minute of jabber where is dropbox how doe one get item from one place to another wa this a tryout for a screen play all i could see were lip and teeth what a waist of time,0.4,
174,i always wondered what dropbox wa i did down load it before but when i opened it it asked me to sign up but it did not explain what dropbox wa at first so i never signed up now i know what it is i know i do not need it,0.03,
175,would not drop box take up phone space help please,0.07,
176,is this a good platform to use for tutorial and online game for online tutoring for zoom i still can not after many try to share a video or visual i ve made on zoom that came from a shared file google drive,0.11,
177,dropbox is a compared to google sheet,0.18,
178,stay on topic ahhhhhhhhhhh,0.01,
179,is this paid advertising a big commercial for drop box,0.53,
180,thank your,0.08,
181,did not know tailor swift in her free time make software video o0o,0.02,
182,you are nose,0.12,
183,in my opionion someone listen in see going from home like said only my opionion,0.27,
184,what if i do not have a buisness,0.13,
185,should change name of this youtube from what is dropbox and how doe it work to what is dropbox watched first 3 minute to get a better understanding of what dropbox is from there clicked ahead to find out how it work and do not believe video show any screen of actually using,-0.06,
186,super informative i am a aerial photographer and this will be so useful,0.24,
187,yeah,0.11,
188,did not learn a thing,0.11,
189,this video could have been 2 00 minute long,0.1,
190,3 32 min into the clip and still nothing about how it work no point talking about photograph and instagrams when i need to know how to operate dropbox,0.24,
191,i accidentally put almost all my file into dropbox how do i get then out,0.05,
192,the example you gave is to drop your picture in dropbox and then upload it to instagram but why not just upload it directly to instagram this will just add a layer without any additional benefit what did i miss,0.13,
193,not sure but it sound it because the quality is better than iphone if your pic are taken w a camera w better resolution than iphone,0.16,
194,thank you for the video i am doing a project on dropbox and this wa very helpful,0.02,
195,do not forget they are a racist company and sexist will not hire you if you would white or straight,0.38,
196,please me do not have any computer but i am used drobbox my phone android a 10,0.2,
197,hi laura how are you,0.1,
198,all that computer stuff is impossible to understand i despise this digital world,0.13,
199,it is cancer invasive in the extreme,0.1,
200,too much talking,0.2,
201,you are look so glad,0.11,
202,thank you,0.08,
203,you are welcome,0,
204,today is the first time i have ever heard of dropbox from an email i got i have no clue why they would send me this i am writing a book,0,
205,nice,0.05,
206,can anyone access your file how secure your information are in your drop box thanks,0.29,
207,it depends on how much you buy,0.15,
208,six figure mastermind it just the same a google drive right what is the storage capacity for dropbox,0.29,
209,dropbox allows access according to your privacy setting,0.08,
210,maybe i am too old but this f g dropbox is too complicated automatic synchro difficult to delete file pffff a nightmare,0.07,
211,great,0.1,
212,thanks for tuning in hit me up with a subscribe,0.07,
213,thank you mam,-0.11,
214,you bet,0.08,
215,i am cautious about using this dropbox thing because i allowed onedrive without realizing it actually took my file off my desktop document and photo file off my computer to store on the cloud getting all 3 5 gig of file back on my computer is a terribly long and laborious process which doe not put them back according to their original organization but in a downloaded zip file doe dropbox take my file or simply copy them doe anyone know for sure if you can only guess do not comment please,0.06,
216,why can not i uninstall this horrific app from my window 10 computer,-0.03,
217,nice,0.21,
218,i do not know what you mean by the dropbox icon at the top of your screen there is no dropbox item at the top of my screen,0,
219,that icon appears for mac user u must be working on a window system check your desktop or start menu,0,
220,how do i get the file off drop box to my external drive,0.21,
221,the rule are too chaotic and fussy,0.03,
222,stop using drop box their racist hiring manager at dropbox admits she dislike white people and make employment decision based on race,0.15,
223,can you share video with dropbox on a social medium page,-0.1,
224,great,-0.06,
225,nice tu,0.03,
226,great video very well done all would have gone perfectly if i remembered to go and verify my email a wa explained i tried to get in before doing that and it did not work thank you,0.28,
227,great thank you for the head up,-0.01,
228,how can you get rid of this rubbish i can not unsubscribe,0.13,
229,please be careful with this app it can delete all your data if you want to uninstall it please do not even download this,0.19,
230,i think dropbox is kinda copying roblox is captcha,0.21,
231,i have a shared folder with a group of 5 recipient i add photo to this folder periodically do the people in the shared group get any type of notification that i would added file,-0.01,
232,a great tutorial nice clear vocal not too fast no ott editing and annoying background music just make life so much easier well done thanks,0.25,
233,i had the free account for about 10 yr now of course not much storage,0.1,
234,i am extremely attracted to this voice,0.41,
235,what if i want to save a file only on the server and not on the pc am i obliged to save the file on the cloud and also locally and if i delete it locally it deletes also from the server,0.14,
236,thank you i like your voice it helped me to follow,-0.08,
237,how dare you she sound like greta,-0.02,
238,dropbox ha been obsolete since the day it wa created it literally doe the same thing a email except it is horribly unreliable and you constantly have to babysit it to make sure file are actually uploaded it is crap how something like this ever gained traction i will never know,-0.33,
239,probably because you are entirely wrong email attachment are limited to 5mbs attachment size you can not store large file on your email nor can your sync or change file to the cloud that is not the same a email in the slightest sound like you had a bad experience with the application you should give it a try again nothing you have mentioned ha matched my experience with dropbox at all,-0.17,
240,um what,0.03,
241,thanks this really helped me i knew nothing about dropbox,0.04,
242,getting started tara,0.17,
243,easy and amazing tutorial,0.12,
244,coming soon in the near future why you should not unsubscribe to u video absolutely no solid reason cause of these video that are being uploaded,0.24,
245,tomoxeha amiconort lol there wa a time when there were good video on this channel came through fb year ago lol,-0.07,
246,shame on you who first decidef to subscribe,0.18,
247,how to moneytize this channel to the max,-0.19,
248,monetization maybe hard for many channel though this channel should get it,0.16,
249,next video how to subscribe to a useful video channel,0.2,
250,what is next how to instal window 95,0.02,
251,next video how to download game in the ps3,0.23,
252,thanks for this video if the year wa 2007,0.09,
253,not all people may know everything these video are very useful thanks,-0.03,
254,next video suggestion how to unsub from tech insider,0.12,
255,how to unsub oh wait,0.52,
256,i wa about to commit suicide coz i donno how to use dropbox,0.25,
257,same,0.21,
258,pls tech insider pls show me how to drink water pls pls,0.29,
259,,0.16,
260,no body had me scrolling like this,0.09,
261,next video how to breathe,0.23,
262,dante,0.33,
263,covid 19 patient i will take your entire stock,0.07,
264,thx,0.07,
265,here is a new and improved dropbox tutorial,0.07,
266,i friggin hate this program the most un user friendly program lve ever encountered but this is how people send me file so l need a tutorial that say step 1 step 2 step 3 for each function can not figure out how to save the file to my phone so l can access them with video program,0.25,
267,we come to youtube to find out how to do thing what if you are older but still working and this young guy j speaking like a train doe instruction with a distant tiny lettered screen rubbish,0.29,
268,i have a much newer version of this video do not know why youtube still show this old one,0.2,
269,awesome,0.2,
270,awesome,0.03,
271,can you do all this on your firestick etc,0.16,
272,thank you for a great video and for helping me get started with dropbox so easily brilliant 109 min video,0.22,
273,good info but i need it for my phone off phone on dropbox could not figure it out will go to your new tutorial it is me not you lol,0.22,
274,so helpful thank you,0.17,
275,i need help with a certain problem,0.22,
276,thanks,0.16,
277,he is talking too fast not very helpful at all,0.55,
278,thank you for this detailed video it wa very helpful and informative,0.08,
279,very helpful thank you,0.05,
280,thank you,0.4,
281,terimakasih tutorial for beginner sangat bermanfaat,0.39,
282,i like thank you,0.19,
283,my dropbox folder on my pc is getting very large if i move it to an external drive will it still operate correctly,0.15,
284,awesome tutorial you need to teach all the other youtubers how to make tutorial,0.09,
285,for beginner you are horrible you go too fast,0.32,
286,whoa slow down it is for beginner remember curser going at a rate of knot,0.24,
287,this vid is too advanced for me a beginner you talk too fast the stuff is too small to read and you jump around too much it is too complicated i am a beginner,0.06,
288,i am afraid the print is too small to be user friendly sorry,0.56,
289,i appreciate that you are doing this never really learned the computer stuff but i am a dis abled warrior having had a massive stroke and being a cancer survivor i am wanting to start a youtube channel but not sure how to do this but this is a starting point,0.15,
290,thanks for the tutorial,0.07,
291,too fast doe not do me any good,0.23,
292,your video wa most helpful thanks,0.11,
293,please be careful with this app it can delete all your data if you want to uninstall it please do not even download this,0.24,
294,good video,0.17,
295,i just bought a new pc amp in the bundled software it come with 25gb of cloud storage using dropbox it seems pretty straight forward but i thought i would watch a video in case i wa missing something thanks,0.13,
296,too crazy hard for me so many version on one desktop they all do not do the same thing i am trying to add one folder to another but have no option to do so,0.07,
297,thank you so much info are discussed concisely,0.12,
298,is it safe to store confidential info doc in dropbox,0.13,
299,how do you or can you print directly from dropbox or just read it,0.12,
300,hey dropbox include middle age white male in your new youtube advert if you want u to buy your product,0.13,
301,it is obvious that you have a lot of expertise and information on how to use drop box unfortunately you do not seem to understand that the viewer me is using this video to learn how to use drop box and doe not necessarily have all of the mastery and baseline information that you have could you please slow down and go into a little more detail also do you have a version that doe not use mac i think that if you make these change this will become a much more user friendly website thanks,0.06,
302,thank you for your video what i did not and still do not understand is the drag and drop process could you give more attention to explaining how for example i move or copy a document from word or a photograph from some place on my computer into dropbox thank you,0.22,
303,great,0.12,
304,great video i have a question btw i do not have a dropbox account and viewed a few video through some dropbox link file so what exactly happens also will the dropbox user know that i viewed accessed the link file,0.13,
305,hu,0.37,
306,but how do i sync folder in my mac dropbox to my iphone,0.15,
307,hi for an oldie you are too fast and it hard to see on the screen what you are describing,0.13,
308,sorry about that i am redoing this video soon,-0.05,
309,thanks so much,0.11,
310,i want in phone,0.06,
311,is this free app or i have to pay,-0.12,
312,lmao for the people saying it is too fast just reduce the playback speed lmao it is not that hard,0.01,
313,1 53 thank me later,0.31,
314,note to be watched on a large screen only and a big pause button to digest audio very fast talker,-0.15,
315,i have been using dropbox for a few week now and none of my page look like this frustrating,0.05,
316,i have only one device and the whole thing seems amazingly overbuilt all i wanted to do wa send an email with a 90 second video to a friend and yahoo had the nerve make me need to use this damn thing i could not,0.55,
317,wonderful concise clear and easy to understand the basic thank you,0.61,
318,you have great information but i can not see what you are talking about a your screen is all white space i started on my phone but could not read i went to my pc better but cold not read i zoomed in but all you text is tiny to be specific you often say a you can see her well i can not see there it is to small and you are to fast your video would be improved if you said this is a folder on my computer that i want to move to dropbox i hope this help,0.27,
319,way to fast we are beginner and he is so experience he ha forgotten what being a beginner is like,0.28,
320,too fast too complicated,0.33,
321,very poor,0,
322,good,-0.26,
323,sorry but this is not for beginner way too fast image is too small can not see where you are clicking,-0.26,
324,can hardly see it,-0.02,
325,someone gave a link of a video to use it in dropbox but i do not know how to open it and watch it,0.01,
326,thank you for posting this it wa very clear and contained everything i wa hoping to see,-0.13,
327,all my dropbox file been recovered edwinconsult on instagram helped me out,0.09,
328,the beginner in the comment are apparently beginner in pc and technology in general,0.24,
329,all my dropbox file been recovered edwinconsult on instagram helped me out,0.14,
330,way too fast too much wish i could have understood,0,
331,all my dropbox file been recovered edwinconsult on instagram helped me out,0,
332,way too fast for a beginner to follow and can not see the screen well enough and you know whatever we see on our end probably doe not match what you have on your screen,NA,
333,all my dropbox file been recovered edwinconsult on instagram helped me out,NA,
334,for those who feel the info is too fast you can click those 3 dot at the bottom of the video amp change the playback speed to x0 75 or x0 50 to make it easier to digest,NA,
335,all my dropbox file been recovered edwinconsult on instagram helped me out,NA,
336,i found this very informative although i can not see where it may be too fast for some people a a senior i am a speed reader and listener so i wa able to follow along very well thank you,NA,
337,all my dropbox file been recovered edwinconsult on instagram helped me out,NA,
338,dropbox web service is becoming very unreliable with file uploading error frequently occurring i am now researching alternate product,0,
339,recommending edwinconsult on instagram i recently wouldropped dropbox when i also discovered they changed the permission on my laptop without my consent which i regarded a a virus attack i am using google drive now much more free space no uploading issue for my need better and cheaper by far,0,
340,all my dropbox file been recovered edwinconsult on instagram helped me out,0,
341,you do not have to make your presentation at lightning speed not everyone is tech savvy and we can not follow along at the pace you are speaking please consider slowing down,0,
342,all my dropbox file been recovered edwinconsult on instagram helped me out,0,
343,sir i have forgot my dropbox id password or wo id srf dropbox thi no email jab hum forgot pe upadte kare to batara opt sent new paswrd keliye but uska email nahi tha or kaise open kare hum wo idplz boliye,0,
344,please slow down to show where you are clicking on something the image where you click are small and spread out from where your mouse just wa my two cent but a good video over all,0,
345,all my dropbox file been recovered edwinconsult on instagram helped me out,0,
346,thanks i am in the process of updating this,0.05,
347,finally i know how cloud work,0.03,
348,i am lost,0.03,
349,so doe the other person the other end need dropbox to view item,0.03,
350,i produce music and i used wetransfer to send music to artist i like it because it let me know if the artist got it and downloaded the file if not it expires after a few day but then i started thinking would i be better off using dropbox,0,
351,bradley alcudia thats weird because i just sent a video to a friend of mine and she said she had to download dropbox to view it,0,
352,no,NA,
353,you are not a good teacher far too fast,NA,
354,i will have to remake this video,NA,
355,i get bored so much talking,0,
356,thank you i really needed this help,NA,
357,in this tutorial you are moving much too fast about 5 time too quickly for me to follow you and i have been using the computer for 20 year though i do have some slight handicap with eyesight and right hand still even stopping the video often to see the movement of your cursor with a magnifying glass did not help much the image of your computer display wa also too small and i could not make out where your cursor wa most of the time you just moved through the step too quickly to be a good beginner tutorial slow down what is your hurry,NA,
358,sorry not my best work remaking this video,NA,
359,thanks this video provided exactly what i needed to know i am starting a new business and looking for sharing and storage option,NA,
360,it say my pc is on there,NA,
361,uh i before e except after c receiving,NA,
362,did not like this video you spoke far too quickly difficult to follow so i gave up sorry but i will check elsewhere,NA,
363,so if i have movie in my phone and add them in my dropbox account and my phone broke and i bought another one and sign in my dropbox account would i find them and download them again to my new phone,NA,
364,thanks,0,
365,i agree with most of the comment way too fast this is supposed to be for beginner,0,
366,it would be more clear and honest with the title how to use dropbox dropbox tutorial for beginner who use apple moan,NA,
367,can u tell u what are feature are using in your laptop like ever note others are,NA,
368,tooo fast farkkk,NA,
369,you seem to forget that you have made a video called dropbox tutorial for beginner you are moving way to fast for a beginner you have got to slow down remember who is viewing this beginner,-0.5,
