,comment,Sentiment,Sentiment Confidence Score
50,great video my friend just bought the 6 just because i felt i needed the ecg,POSITIVE,0.8442291021347046
51,i purchased the series 7 in stainless steel for dollar410 to upgrade from my aw se 1 which wa scratched up it is perfect for me a i do care about aesthetic a much a functionality i think it strike lovely balance between the two,POSITIVE,0.9978734254837036
52,i own an apple watch series 0 a watch that came out same year a iphone 6 or 7 plus imagine if apple turned of basic function and connection option for those phone that is what apple just did turned off basic function for my otherwise working and mint condition series 0 apple watch it is not supported in io 16 1 i got a new phone and after automatic installing io 16 1 1 basic function on old apple watch is no longer working basically everything that require connection to the phone is no longer working fitness sync notification weather complication and other complication etc basically everything that also us the watch app on phone so they more or le bricked my watch at the push of a button why it the first time i have seen an apple product become completely useless after 7 year and they choose to do it on a watch the watch wa working just fine before the update yes it did not have the new function but it wa just fine i called support and after a long chat they decided to compensate me with a link to recycle the watch so they brick my watch and sent me a link to recycle the watch after that they semt me a link to apple store watch page so i could buy a new one at full price what is going on here can apple just do that in my ear it sound crazy that they can just do that please help,NEGATIVE,0.9985052347183228
53,if your aftermarket band damage the detent for the watch and wont come off apple will not work on your watch,NEGATIVE,0.9995830655097961
54,thank you just bought a series 7 through your link,POSITIVE,0.9653196930885315
55,ive had my series 7 a while now a my first apple watch and i wear it everyday and sometimes i have it off and sometimes feel like i got a notification but i havent got the watch on me lol doe anyone else feel this,NEGATIVE,0.9920811653137207
56,thanks for sharing you clarified many thing in a good way,POSITIVE,0.999782383441925
57,well how do i get my mom to buy this,NEGATIVE,0.9952516555786133
58,just praising the ultra and telling people to get the se if they do not want the ultra not much of a buyer guide,POSITIVE,0.9988736510276794
59,a richard millie watch cost over 1million dollar this is dollar800 i am going with apple,NEGATIVE,0.9865004420280457
60,help i do not know which watch to get either the apple watch se or se generation 2,NEGATIVE,0.998268723487854
61,one interesting feature of an apple watch is that it tell the time,POSITIVE,0.8819135427474976
62,i wish all review were a helpful a this you made it easy for me to choose thank you and well done,POSITIVE,0.9958958625793457
63,i just purchased this for a decent price and it come with the cellular option which i will not use i am assuming the watch will operate the same right,NEGATIVE,0.9761146306991577
64,u just promoted ultra here and spoke nothing about the other totally not compatible with the caption,NEGATIVE,0.9996761083602905
65,keep it real bro the ultra is like wearing a t w steele watch on your hand shit look like you are wearing a wall clock on your wrist,NEGATIVE,0.9911148548126221
66,dick tracy wud be proud,POSITIVE,0.9967944025993347
67,is this a tech channel or qvc,NEGATIVE,0.9823731184005737
68,to be honest i just want a series 7 with the battery life of a ultra,NEGATIVE,0.9887920022010803
69,i wanted the ultra because it would fit with my lifestyle but it is way to big for my tiny wrist,NEGATIVE,0.8402791023254395
70,also the ultra is an amazing watch but you are right that big face is just too much but i do love the button and function of it,POSITIVE,0.9992324113845825
71,yes they have hnmm mmmm i kind of want the hermes watch for the box and re sale,NEGATIVE,0.9975953698158264
72,dollar800 for a smartwatch do you think people sleep on money apple wa a one of first company to introduce a dollar1 000 smartphone now apple will be the first company to introduce dollar1 000 smartwatch,POSITIVE,0.8730552196502686
73,i really wish they would come up with a 43 46 mm option for the ultra i will probably end up buying the ultra regardless but there are a lot of athletic people out there that have small wrist and 49mm plus the additional thickness can look and feel quite daunting,POSITIVE,0.9855656027793884
74,sticky da plug there is a setting that allows you to switch the orientation while keeping it on the same wrist you can make it so that the crown face away from your hand,NEGATIVE,0.9777456521987915
75,i love mine but it is a fact especially doing push ups the crown press my hand but if u raise it on the wrist a bit above the wrist bone it is actually no problem then,POSITIVE,0.9870944619178772
76,did you say ovulation tracking,NEGATIVE,0.9808432459831238
77,the standard apple watch ha not had a good upgrade for a while now,NEGATIVE,0.9995887875556946
78,why is the ultra 900dollar it is a ducking watch so dumb should not be more then 500,NEGATIVE,0.999529242515564
79,i just got the series 8 45mm for me and dad but still do not know how to use it yet lol,NEGATIVE,0.9974488615989685
80,i find it funny that now that these watch were first announced to come out my series 4 wa updated and now it ping every so often when it is on the charger like it is disconnecting then connecting back anyone else experiencing this,NEGATIVE,0.9839473962783813
81,thanks for the good advice about purchasing but why are you yelling,NEGATIVE,0.9940535426139832
82,is the always on display really that useful or useless how often do you use it,NEGATIVE,0.9996988773345947
83,dollar800 might a well get a phone,NEGATIVE,0.9983295798301697
84,ugh i can not watch this guy anymore he is such an apple shill the se is the best watch bang for the buck genius but you got to sell that ultra do not you,NEGATIVE,0.9504444003105164
85,great video buddy new subscriber,POSITIVE,0.9967619180679321
86,the ultra is indeed a better buy but only if it came in a smaller size even at 45mm i have the series 7 gps cellular 41mm and the crash detection is a big difference between the two along with the temperature sensor for those two reason alone i recently ordered the 8 gps cellular 41mm and will either sell or give away my 7 despite just having bought it in july and i wish they would free up on one or two of the herm s watch face,NEGATIVE,0.9976558685302734
87,hello susana i would like to buy a series 7 gps cellular where are you from,NEGATIVE,0.9927843809127808
88,dollar800 for a apple watch,NEGATIVE,0.9714415669441223
89,id love the se it sound super useful and nothing too crazy i had a dream last night that i got one love being poor,POSITIVE,0.9901415705680847
90,i have the apple watch 3 definitely time for a upgrade so i am going for apple watch 8,NEGATIVE,0.9773536920547485
91,i am still using the series 4 but that ultra doe look nice update got the ultra and it is pretty cool but the battery dy significan notly faster while using cellular,NEGATIVE,0.9728958010673523
92,it last up to 3 day,POSITIVE,0.9350696206092834
93,what watch to get for first time apple watch buyer,POSITIVE,0.9896457195281982
94,i do not get it what is the surprising thing,NEGATIVE,0.9991949200630188
95,thanks for helping with my decision i am going with the ultra,POSITIVE,0.9993402361869812
96,i just upgraded to an apple watch series 8 from my series 6 and i got ta say the battery life seems much better i wore it from 3am to 10pm and had 54percent charge remaining and that is not on battery saver mode,NEGATIVE,0.9990561604499817
97,apple tell you the ultra is for exploring in the middle of nowhere how do you do that with 38 hour of battery at most my garmin give me over 12 day in normal mode to me it is absurd,NEGATIVE,0.9990304708480835
98,apple say 100 mt water resistant i am a scuba diver and for my sport it 40 mt sorry it is either 100 mt or 40 mt,NEGATIVE,0.9993403553962708
99,i upgraded from series 6 to se 2 and love it got the midnight black 44 mm got it for same spec a the 8 for lower price,POSITIVE,0.9874815344810486
100,that is a downgrade friend,POSITIVE,0.9412417411804199
101,wait for next year model the apple watch will have the same feature a the ultra but smaller and le expensive,NEGATIVE,0.9934083223342896
102,max tech this is the first time i have buy a apple watch so i am getting an apple watch se2,NEGATIVE,0.8672122955322266
103,did you make a mistake at 3 32 battery size of watch 8 45mm only 3 4 of watch 7 45mm,NEGATIVE,0.9974160194396973
104,what about the series 6 if they all have the same chip what feature is the 6 missing,NEGATIVE,0.9996808767318726
105,stefan w i wa looking to upgrade from an apple watch 4 so the 6 cellular for dollar240 on amazon renewed sound like a good deal to me,POSITIVE,0.9975101947784424
106,7 wa a minor upgrade to 6 8 an even minor to 7 same cpu since 6 not even shrinked to 5nm still 7nm so no better battery display a little bit smaller but who care will stick to my 6,NEGATIVE,0.9909952282905579
107,i love to hate fanboy max,NEGATIVE,0.9932817220687866
108,se 2 v series 7 at the same price series 7 probably cheaper mmmmh opinion,NEGATIVE,0.990341305732727
109,it gon na be my 1st smart watch tat i own but since i dun wan the aluminium model my next option is only stainless steel or ultra but the price difference is only about dollar100 so it totally not worth it to get the stainless steel when i can just get the ultra for like dollar100 more but one dilemma i have is it gon na be heavier more bulky and i like the series 8 design a little better coz im a pretty skinny guy,NEGATIVE,0.9948201179504395
110,lol i have the same issue i prefer the 8 stainless steel but it is almost the same price a the ultra which ha twice a battery,NEGATIVE,0.9619116187095642
111,the ultra cost 1000euros in europe battery last hardly a day that s insane shame on you tim cock,NEGATIVE,0.9968746900558472
112,dollar800 lol,NEGATIVE,0.9754128456115723
113,no thanks io and the apple watch will lock me down to apple forever,NEGATIVE,0.9892086386680603
114,i need the series 8 from my series 6 i want the ultra at amp t is having a bogo buy a series 7 and get a se free,NEGATIVE,0.9987102746963501
115,the new compass is a feature on the non cellular se,POSITIVE,0.9753057956695557
116,how is a se for kid because it doe not have always on display wa everyone kid when they bought the series 3,NEGATIVE,0.9991090893745422
117,800 dollar heck no,NEGATIVE,0.9949262142181396
118,i have series 4 and i ordered the apple watch ultra using some of credit card point and i ended paying dollar850 canadian dollar around dollar650 usd which i saved almost dollar400 cad tax included apple watch ultra price in canada dollar1099 and with tax the total you end up paying dollar1263 the bad thing it is going to be delivered in november,NEGATIVE,0.999076247215271
119,dan r i just made another a test for battery using the wayfinder face switching it to dark mode only and it lasted 3 day without the need to use low power mode,NEGATIVE,0.9821102023124695
120,you get it yet,POSITIVE,0.9992709755897522
121,it bother me that everyone keep saying ip6x when it is actually called ipx6 it concern me even more so that apple f ed that up in their material they published about the watch they ought to know better and should have better more knowledgeable editor to catch thing like that,NEGATIVE,0.9988670349121094
122,bro watch ultra is only for user who use it for mountaineering diving and other extreme sport even triathlon we can not just buy it if we have money,NEGATIVE,0.9908190369606018
123,best year to buy apple watch series 7 haha,POSITIVE,0.9952821135520935
124,you just know next year apple will have a smaller version of the ultra,NEGATIVE,0.5036195516586304
125,and color hopefully,POSITIVE,0.9997974038124084
126,i would not suggest woman in the u to use the temp sensor mainly because there could be issue with the over throwing of roe v wade,NEGATIVE,0.9870083928108215
127,i am getting the 45mm series 8 with gps my first smart watch period,NEGATIVE,0.9756936430931091
128,dude i do not believe i will buy a dollar800 watch whata f apple,NEGATIVE,0.9991820454597473
129,no they did not make the choice difficult se and series 8 come with very little change do not need those two option replacing my series 7 nike watch wa discontinued ultra is a purchase worth considering,POSITIVE,0.9891597628593445
130,s7 s8 apple watch ultra,NEGATIVE,0.8918444514274597
131,ultra too expensive and watch 8 too little battery life if watch 8 had 36 hr battery life with full use i could get that,NEGATIVE,0.9993721842765808
132,i am upgrading from the series 3 to series 8 lmao,NEGATIVE,0.987934947013855
133,i want it but it too big pause,NEGATIVE,0.9977411031723022
134,can you guy test the accuracy of the new improved gps in the iphone 14 pro it is supposed to have better gps i do not think any other reviewer is gon na test it at all looking forward to all your in depth video especially the 13 pro v 14 pro camera test,NEGATIVE,0.998088538646698
135,i am a teenager and my parent are planning to get me an apple watch for my birthday i have only had one watch before this and looking at the spec i think se is best for me thanks for the vid,NEGATIVE,0.81630539894104
136,will the series 8 have the keyboard a the series 7,NEGATIVE,0.9792465567588806
137,best bang for the buck because of the battery life hahaha what a joker,NEGATIVE,0.6821620464324951
138,i have bought apple watch s8 waiting for it consignment that is an upgrade for me because there are two new sensor on it in comparison of s5,NEGATIVE,0.9885596632957458
139,apple watch 7 v se 2022,NEGATIVE,0.8142014145851135
140,49 mm v panarai 49 mm,NEGATIVE,0.5904702544212341
141,ummmhuuu ijusten,NEGATIVE,0.9848296046257019
142,lol i don really think much people will buy the ultra it is so damm expensive and there are many competition out like especially garmin which the battery life are measured in month,NEGATIVE,0.9988547563552856
143,getting a 700 dollar cellular for your son bruh,NEGATIVE,0.9845619797706604
144,my only complaint about the ultra is they most likely did not shrink the 7nm node process from the s6 to at least 5nm i know we do not need more performance but greater efficiency can not be overstated in how much it is wanted and the value it would add could probably easily have hit 48 hour or probably more had they shrunk the size of the s8 and left processing performance the same,NEGATIVE,0.962868869304657
145,apple usually underestimate it watch battery life so hitting 48 doe not sound too difficult for it plus energy saving mode is still available,POSITIVE,0.9366528987884521
146,and it is ugly and bulky,NEGATIVE,0.9997753500938416
147,se m1 macbook air amazing value device series 8 m2 macbook air fr who the hell is this for ultra m1 pro 14 macbook pro not cheap but a highly capable great value device,POSITIVE,0.9992859959602356
148,this is more of an ultra review and comparison,NEGATIVE,0.9867178201675415
149,i have had the series 4 for a while it work fine and all but i decided to get the 8 because it is already 4 series old but now i am thinking i should have got the 7 i skipped on the new iphone this year because i have the 13 pro max and plan on getting next year iphone i am also upgrading to the airpods pro since i am still using the 1st gen airpods,NEGATIVE,0.9952892065048218
150,6 series thank you,POSITIVE,0.999842643737793
151,it is easy do not buy any apple watch,NEGATIVE,0.9979503750801086
152,if apple would let u samsung user pair the watch i would get an ultra,NEGATIVE,0.996664822101593
153,that ultra is fucking awesome,POSITIVE,0.9998226761817932
154,i am shocked shocked that apple ha not sent you guy the new iphones,NEGATIVE,0.9798033833503723
155,do not forget apple watch 6 the only difference between 6 and 7 is a tiny bit of screen size,NEGATIVE,0.9335046410560608
156,what is better the series 7 or se 2 i am looking to buy my first apple watch for fitness the se lack some of the feature i want like ekg but then it ha the newer tech inside can anyone help do not think i can afford a series 8 even though that would be the best option for me,NEGATIVE,0.9961735606193542
157,ted anteby you will not be using ecg daily and let god make you use ecg very le be healthy,NEGATIVE,0.9848496913909912
158,anshul shrivastava honestly i think i might just get the series 8 at xmas time by then i should have enough saved up and it seems like the best option all round se just seems a little outdated still great for kid but le for people who want to use it for health and fitness i plan on using all those health feature regularly,NEGATIVE,0.9978227615356445
159,what do you mean ecg only for a few day,NEGATIVE,0.9873278737068176
160,that ecg will be just for few day and afterwards there will be no use of that so please go for value for money and make a sensible decision,NEGATIVE,0.9884074330329895
161,ultra taking the piss well done apple,NEGATIVE,0.9831528067588806
162,nice great info,POSITIVE,0.9998615980148315
163,18 hour the galaxy watch 5 get 50 why can not apple improve the battery life,NEGATIVE,0.9960773587226868
164,already got the ultra look dope,POSITIVE,0.9666884541511536
165,people fascination with high end nice packaging just kill me,NEGATIVE,0.9963615536689758
166,i will keep my series 4 for this year,POSITIVE,0.9995701909065247
167,ultra wayyyy to big for me give me a slap wrist band watch asap,NEGATIVE,0.9689244627952576
168,been wanting my apple watch to be like the ultra for a while when it wa announced it wa like they read my mind since i go hiking a lot,POSITIVE,0.9957413673400879
169,what is precise device tracking is that like find my iphone i want to know cuz i am thinking about going for the new se,POSITIVE,0.9560573697090149
170,i wish they did two size with ultra 45mm is a big a i can go with my wrist size,NEGATIVE,0.9769111275672913
171,is the series 8 able to detect fever if it ha a temperature sensor able to detect 1 degree change it should be able to detect when someone is running a fever it would be cool if you guy could test that,NEGATIVE,0.9810383915901184
172,andreas elia i think it is assumed you will be able to determine you have a fever since that is detected by body temperature and it doe show you body temperature maybe they can not legally say it can specifically fever because that range varies from person to person or occasion after exercising v cold shower i imagine a feminazi on menopause will usually hit 3 digit and get close to melting the temp sensor anyway i decided again to not buy it it is the closest i ever got to owning an apple watch it certainly ha attractive feature but i can not justify dollar500 tax for a watch i do not really need,NEGATIVE,0.994640052318573
173,even if it doe detect fever with low power mode coming to series 4 and later with the new o update and the crash detection on the new iphones a well it doe make way more sense to buy a series 7,NEGATIVE,0.9901701807975769
174,shadow 133 i agree but why did not apple talk about this they mostly talked about ovulation i tried to google it and did not found any mention of it some say it would be a feature for future version of the watch i find this weird,NEGATIVE,0.9987077713012695
175,i imagine that is the main purpose of that feature,NEGATIVE,0.8960790038108826
176,i finally upgraded my series 5 and got lucky with a series 7 for 220dollar picked up locally it wa also sealed so i have been using it for a couple day and the bigger screen 2 day of battery life have been amazing,POSITIVE,0.9981491565704346
177,any update,POSITIVE,0.8203594088554382
178,thanks for this video i wa about to buy the se 2 but decided to stretch a bit and go with the 7 like you recommended i feel good about it,NEGATIVE,0.9254342317581177
179,i have had my series 3 since 2018,POSITIVE,0.9971135854721069
180,i would if apple would introduce a new colour to the base series 8 in the future,NEGATIVE,0.9893214702606201
181,it is priced at dollar800 which make it a killer value lol the se here is the best watch this year,POSITIVE,0.9993864297866821
182,not a hard choice at all every apple watch i have had ha been stainless steel and titanium my only regret is i did not get the ceramic so when the ultra came out at dollar799 it wa a no brainer the most difficult thing is waiting until the 23rd,NEGATIVE,0.9746750593185425
183,i am having a hard time waiting i search youtube everyday now ahahha,NEGATIVE,0.9890958666801453
184,no one should be buying the 8 stainless worst buy you can do,NEGATIVE,0.9994350075721741
185,since the series 8 is a marginal upgrade i bought the series 7 for dollar100 off on amazon in the beautiful blue color,NEGATIVE,0.680946409702301
186,same,NEGATIVE,0.984588086605072
187,why did apple only come out with that color i think that is going to be down fall,NEGATIVE,0.9995798468589783
188,so the ultra ha overkill feature for extreme sport without the battery life to go along bummer it seems it is gon na end up being a super premium watch for people willing to pay twice the price for another day of battery,NEGATIVE,0.9981516003608704
189,i noticed the nike branded watch did not get updated with that woman thing and the crash feature the hermes monster price apple watch did get updated for people that want to spend between dollar1 000 and almost dollar2 000 for an apple watch,NEGATIVE,0.9963721036911011
190,woman thing sigh,NEGATIVE,0.9719631671905518
191,the ultra apple watch is the first apple product i am interested in year the iphones with the wouldynamic island however did not hit the g spot,NEGATIVE,0.9966033697128296
192,what if they called it gynamic island,NEGATIVE,0.5978487133979797
193,ok then you will not like the google oasis,NEGATIVE,0.9909658432006836
194,i have never had an apple watch so i just bought the series 8 i just think the ultra is too big,NEGATIVE,0.9997411370277405
195,i really want to get the ultra i go on hike but have really small whist sadly,NEGATIVE,0.9981928467750549
196,doe ultra come with gorilla arm so that it will fit my new wrist,NEGATIVE,0.9797767996788025
197,all these tech boy are going to be sitting in their ac office flexing the ultra on their tiny wrist,NEGATIVE,0.7860692739486694
198,the ultra should of had a minimum of 64gb storage minimum,NEGATIVE,0.9974949359893799
199,thank you for watching and commenting message right away i have got something for you,POSITIVE,0.9998277425765991
200,that ruby red band how cool it would be if it wa that ultra orange,POSITIVE,0.9974063038825989
201,when you guy get the new iphones please compare the 14 pro and 14 pro max thermal and performance cause some leaked benchmark point to a 17percent faster cpu while other to a barley faster one could it just be the a15 in the normal 14 that get barley above last year s phone i really need to know if their is any difference between the pro and pro max other than the battery and display size before getting one thanks,NEGATIVE,0.9974068999290466
202,thank you for watching and commenting message right away i have got something for you,POSITIVE,0.9998277425765991
203,do you think it is worth it to go from the series 5 to the 8,POSITIVE,0.9983312487602234
204,in that case i would either go with the ultra new design or wait one year the aw5 is still a good watch the design of the aw8 is quite dated and i would not be surprised if the non ultra apple watch will get a refined design similar to the ultra with next year is update,NEGATIVE,0.9985717535018921
205,which watch ha the medication tracker,NEGATIVE,0.9888744354248047
206,all,POSITIVE,0.9902591705322266
207,apple watch series 8 stainless steel cost 220dollar more than the series7 europe price which one to buy,NEGATIVE,0.9531297087669373
208,thank you for watching and commenting message right away i have got something for you,POSITIVE,0.9998277425765991
209,thanks for the video i just canceled my apple watch series 8 order and purchased the apple watch ultra,NEGATIVE,0.9839909076690674
210,thank you for watching and commenting message right away i have got something for you,POSITIVE,0.9998277425765991
211,6 20 why exactly are you personally excited for the siren that seems like an odd thing to say what use case excites you about this feature are you often in situation where your cry for help go unheard do you just enjoy loud sound please explain,POSITIVE,0.9689822196960449
212,i think y all should wait till the product is in hand so we can get quality video,NEGATIVE,0.9988369345664978
213,series 8 should be 36hrs and 60hrs with low energy mode and ultra 60hrs and 120hrs with low energy mode otherwise they can not be compatible with huawei watch,NEGATIVE,0.9995771050453186
214,thank you for watching and commenting message right away i have got something for you,POSITIVE,0.9998277425765991
215,have a series 4 and should have gotten a 7 waited on the 8 to see if space gray would return will probably get a 7 on sale if possible a for juuk band i have had one for over three year and have received many compliment on it definitely recommend,POSITIVE,0.9974330067634583
216,i have the series 4 and i can not decide on if i want to upgrade se is never an option for me it is either s8 or ultra and can not decide on either i am waiting to see review and more hand on to get a better idea on each my wrist is about 165mm,NEGATIVE,0.9993442893028259
217,i got both to see which i liked more wanted a 41mm for jogging realistically ultra is so clunky and unnatural feeling on the wrist and doe not offer a much a all these youtube reviewer act like it doe it doe feel like a big unnecessary toy to a degree like who want to exercise with a giant as watch anyways def just a stunt watch with a poorly positioned action button too easy to bump or accidentally press,NEGATIVE,0.9997451901435852
218,i would say get the 8 or the 7 since it is probably gon na get discounted quite a bit for black friday and christmas the only reason people are getting the ultra is just to flex which is pretty fucking stupid,NEGATIVE,0.9996821880340576
219,my brother doe not have an apple watch which one should he get,NEGATIVE,0.9991410970687866
220,corey i think so i had a s7 with a 12 pro max but honestly the se is a modern apple watch that will satisfy the need of most die hard apple fan and if he doe not like it he can always use it to trade up for a s7 s8,POSITIVE,0.9978894591331482
221,kevin campbell that would fit right at home with the 12 pro max he ha,POSITIVE,0.9978817105293274
222,se,POSITIVE,0.9847686290740967
223,ultra is the new biggie small,NEGATIVE,0.9373723268508911
224,dan rustle i guess you do not know the reference notorious b i g the rapper the very overweight rapper wa also known a biggie small,NEGATIVE,0.9981116056442261
225,what,POSITIVE,0.9942895174026489
226,do not you think they will make more use of the temp sensor in future io update,NEGATIVE,0.9957489967346191
227,i am surprised it doe not tell you if you got the c19 with the oxygen plus the temp you know,NEGATIVE,0.9887807369232178
228,go with the se unless you got deep pocket and absolutely need always on,NEGATIVE,0.9767101407051086
229,wa talking about this somewhere else but i wonder will s8 is body temperature sensor alert you when you are getting sick,NEGATIVE,0.9525620341300964
230,jinx20001 ah i see thanks for the clarification,POSITIVE,0.9987468719482422
231,in theory yes of course it will but by the time your watch tell you that you are sick you will already be aware of it since even 1 2 degree in body temperature change can mean you are sick and you likely already know about it you wouldnt want the watch to indicate you are getting sick early since your body temperature can fluctuate a small amount anyway it would take some proper voodoo magic to let you know you are going to get sick before you actually are so that isnt going to happen,NEGATIVE,0.9975110292434692
232,my first apple watch will be this new se,POSITIVE,0.9725326895713806
233,just got it last week i think it is a worth buy for a first watch,POSITIVE,0.9996163845062256
234,me too,POSITIVE,0.990517795085907
235,series 8 series 7 woman edition,POSITIVE,0.9173955321311951
236,doe cellular watch support 5g esim when phone is not around pls opine,NEGATIVE,0.9902073740959167
237,in europe the decision is clear apple watch 7 the price of the 8 ha increased so much that is become deterrent,NEGATIVE,0.9972890615463257
238,i just picked up a brand new series 7 and saved gbp100 over a new series 8 it suck that apple proclaimed not to have increased price when in reality the rest of the world paid dearly for the usa only price freeze,NEGATIVE,0.9940350651741028
239,exactly what i did refurbished 7 for 339 wa all set to get the 8 but that price rise for zero useful new feature nope,NEGATIVE,0.9989618062973022
240,hustle acc absolutely there is no need to get the 8 at all,POSITIVE,0.991768479347229
